estacion,clasificacion,mean_slope_deg,std_elev_m,relief_m,delta_border_center_m,z_center_m,z_border_med_m,n_rows,n_cols
Centro Obispado,valle,6.240740890668949,107.18355358093942,1034.0167846679688,50.289398193359375,550.6112060546875,600.9006042480469,401,401
Noreste 2 Apodaca,ladera,1.8870582375891136,21.95896236780508,114.86972045898438,-11.06097412109375,431.0729675292969,420.0119934082031,401,401
Noreste San Nicolas,ladera,1.8333536923925706,21.964814457735148,135.02560424804688,-0.8695068359375,474.121826171875,473.2523193359375,401,401
Noreste3 Pesqueria,ladera,1.8789182650067942,20.574587935628536,100.18197631835938,16.3485107421875,349.09942626953125,365.44793701171875,401,401
Noroeste 2 Garcia,valle,7.546479301237276,166.1489743993748,894.670654296875,89.21676635742188,713.9237670898438,803.1405334472656,401,401
Noroeste 3 Garcia,valle,7.245878821179601,187.0242885482173,1288.8115234375,137.99267578125,606.4121704101562,744.4048461914062,401,401
Noroeste San Bernabé,ladera,6.8119367929122285,184.03292183791038,1406.5336303710938,-2.00933837890625,554.3181762695312,552.308837890625,401,401
Norte Escobedo,ladera,4.199571142287466,112.22988632835968,703.0819396972656,0.363250732421875,520.4468994140625,520.8101501464844,401,401
Norte2 Universidad,ladera,4.147595144210084,103.80639806450792,729.7639770507812,4.958404541015625,516.2232055664062,521.1816101074219,401,401
Sur Preparatoria ITESM,valle,19.432494065237016,281.05427200954017,1586.181884765625,143.56744384765625,614.254638671875,757.8220825195312,401,401
Sureste 2 Juarez,ladera,2.0829277121644973,26.652290602386316,135.94085693359375,18.1265869140625,387.507568359375,405.6341552734375,401,401
Sureste Tec NL,ladera,8.175762332878042,226.00805069487103,1336.1925354003906,36.07623291015625,490.1990966796875,526.2753295898438,401,401
Sureste3 Cadereyta,ladera,1.9449608976308765,19.877905590164477,102.41348266601562,-7.4292755126953125,333.2497253417969,325.82044982910156,401,401
Suroeste Santa Catarina,valle,16.712767409365295,283.5513974706146,1341.2412109375,248.6058349609375,677.9658203125,926.5716552734375,401,401
Suroeste2 San Pedro,valle,15.583154864354595,285.09804773033835,1396.947265625,170.2786865234375,636.1119384765625,806.390625,401,401
